{'time': 1618354512435, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512446, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512456, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512468, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512486, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512500, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354512514, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354516044, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354516056, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354521216, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521228, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521244, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521263, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521278, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521285, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521296, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521309, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521366, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521453, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521466, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521476, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521490, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521501, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521511, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521523, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521534, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521555, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354521712, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354522749, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354522759, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354522774, 'event': 'Mouse over geomap', 'target': 'Curry'}
{'time': 1618354522797, 'event': 'Mouse over geomap', 'target': 'Guadalupe'}
{'time': 1618354522818, 'event': 'Mouse over geomap', 'target': 'Cibola'}
{'time': 1618354522827, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354522840, 'event': 'Mouse over geomap', 'target': 'Yavapai'}
{'time': 1618354667087, 'event': 'Mouse over geomap', 'target': 'Smith'}
{'time': 1618354667099, 'event': 'Mouse over geomap', 'target': 'Smith'}
{'time': 1618354667108, 'event': 'Mouse over geomap', 'target': 'Phillips'}
{'time': 1618354667131, 'event': 'Mouse over geomap', 'target': 'Norton'}
{'time': 1618354667343, 'event': 'Mouse over geomap', 'target': 'Utah'}
{'time': 1618354667350, 'event': 'Mouse over geomap', 'target': 'Beaver'}
{'time': 1618354667365, 'event': 'Mouse over geomap', 'target': 'Garfield'}
{'time': 1618354667376, 'event': 'Mouse over geomap', 'target': 'Mohave'}
{'time': 1618354667385, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354667398, 'event': 'Mouse over geomap', 'target': 'Yavapai'}
{'time': 1618354667410, 'event': 'Mouse over geomap', 'target': 'Yavapai'}
{'time': 1618354667446, 'event': 'Mouse over geomap', 'target': 'Yuma'}
{'time': 1618354667461, 'event': 'Mouse over geomap', 'target': 'Yuma'}
{'time': 1618354668855, 'event': 'Reset', 'target': None}
{'time': 1618354670112, 'event': 'Mouse over geomap', 'target': 'Madera'}
{'time': 1618354670182, 'event': 'Mouse over geomap', 'target': 'Delta'}
{'time': 1618354670281, 'event': 'Mouse over geomap', 'target': 'Elbert'}
{'time': 1618354670292, 'event': 'Mouse over geomap', 'target': 'Elbert'}
{'time': 1618354670304, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670315, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670327, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670340, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670353, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670653, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670665, 'event': 'Mouse over geomap', 'target': 'Lincoln'}
{'time': 1618354670762, 'event': 'Mouse over geomap', 'target': 'Venango'}
{'time': 1618354909188, 'event': 'Mouse over geomap', 'target': 'Washington'}
{'time': 1618354909199, 'event': 'Mouse over geomap', 'target': 'Washington'}
{'time': 1618354909216, 'event': 'Mouse over geomap', 'target': 'Washington'}
{'time': 1618354909224, 'event': 'Mouse over geomap', 'target': 'Idaho'}
{'time': 1618354909241, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909249, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909265, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909273, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909661, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909673, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909683, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909695, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909706, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909716, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909729, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909740, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909752, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909763, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909776, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909785, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909795, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909808, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909830, 'event': 'Mouse over geomap', 'target': 'Montana'}
{'time': 1618354909852, 'event': 'Mouse over geomap', 'target': 'Idaho'}
{'time': 1618354909864, 'event': 'Mouse over geomap', 'target': 'Washington'}
{'time': 1618354909875, 'event': 'Mouse over geomap', 'target': 'Washington'}
{'time': 1618354925849, 'event': 'Mouse over geomap', 'target': 'North Dakota'}
{'time': 1618354925862, 'event': 'Mouse over geomap', 'target': 'North Dakota'}
